column_name|description
id|autogenerated id
vehicle_id|vehicle identification
device_id|hub identification
vehicle_out_of_service|vehicle status out of service
vehicle_maintenance|vehicle status in maintenance
transmitting_dur|transmitting duration of hub in seconds
not_transmitting_dur|not transmitting duration of hub in seconds
transmission_level|transmission level defined as 0 if less then 3600 seconds, if more then 1, else 2
report_start_at|report calculation for the date
updated_at|timestamp inserted to database
