column_name|description
id|autogenerated id
sensor_id|sensor identification
wheel_position|wheel position on the vehicle
wheel_id|wheel identification
vehicle_id|vehicle identification
vehicle_out_of_service|vehicle status out of service
vehicle_maintenance|vehicle status in maintenance
sensor_priority|priority of the sensor, lower is higher priority (1 highest)
sensor_type_id|type of the sensor, internal = 1, external = 2
priority_order|ROW_NUMBER() OVER (PARTITION BY vehicle_id, wheel_id, wheel_position, MIN(sensor_priority) ORDER BY MAX(measured_at) DESC NULLS LAST)
level_1_high_temperature_dur|level 1 high temperature duration in seconds
level_2_high_temperature_dur|level 2 high temperature duration in seconds
level_3_high_temperature_dur|level 3 high temperature duration in seconds
level_1_low_temperature_dur|level 1 low temperature duration in seconds
level_2_low_temperature_dur|level 2 low temperature duration in seconds
level_3_low_temperature_dur|level 3 low temperature duration in seconds
optimal_temperature_dur|optimal temperature duration in seconds
level_1_high_temperature_cnt|level 1 high temperature number of alerts
level_2_high_temperature_cnt|level 2 high temperature number of alerts
level_3_high_temperature_cnt|level 3 high temperature number of alerts
level_1_low_temperature_cnt|level 1 low temperature number of alerts
level_2_low_temperature_cnt|level 2 low temperature number of alerts
level_3_low_temperature_cnt|level 3 low temperature number of alerts
level_1_high_cold_pressure_dur|level 1 high cold pressure duration in seconds
level_2_high_cold_pressure_dur|level 2 high cold pressure duration in seconds
level_3_high_cold_pressure_dur|level 3 high cold pressure duration in seconds
level_1_low_cold_pressure_dur|level 1 low cold pressure duration in seconds
level_2_low_cold_pressure_dur|level 2 low cold pressure duration in seconds
level_3_low_cold_pressure_dur|level 3 low cold pressure duration in seconds
optimal_cold_pressure_dur|optimal cold pressure duration in seconds
level_1_high_cold_pressure_cnt|level 1 high cold pressure number of alerts
level_2_high_cold_pressure_cnt|level 2 high cold pressure number of alerts
level_3_high_cold_pressure_cnt|level 3 high cold pressure number of alerts
level_1_low_cold_pressure_cnt|level 1 low cold pressure number of alerts
level_2_low_cold_pressure_cnt|level 2 low cold pressure number of alerts
level_3_low_cold_pressure_cnt|level 3 low cold pressure number of alerts
level_1_high_hot_pressure_dur|level 3 high hot pressure duration in seconds
level_2_high_hot_pressure_dur|level 3 high hot pressure duration in seconds
level_3_high_hot_pressure_dur|level 3 high hot pressure duration in seconds
level_1_low_hot_pressure_dur|level 3 high hot pressure duration in seconds
level_2_low_hot_pressure_dur|level 3 high hot pressure duration in seconds
level_3_low_hot_pressure_dur|level 3 high hot pressure duration in seconds
optimal_hot_pressure_dur|level 3 high hot pressure duration in seconds
level_1_high_hot_pressure_cnt|level 1 high hot pressure number of alerts
level_2_high_hot_pressure_cnt|level 2 high hot pressure number of alerts
level_3_high_hot_pressure_cnt|level 3 high hot pressure number of alerts
level_1_low_hot_pressure_cnt|level 1 low hot pressure number of alerts
level_2_low_hot_pressure_cnt|level 2 low hot pressure number of alerts
level_3_low_hot_pressure_cnt|level 3 low hot pressure number of alerts
temperature_min|minimum temperature
temperature_max|maximum temperature
temperature_sd|standard deviation temperature
temperature_avg|average temperature
cold_pressure_min|minimum cold pressure
cold_pressure_max|maximum cold pressure
cold_pressure_sd|standard deviation cold pressure
cold_pressure_avg|average cold pressure
hot_pressure_min|minimum hot pressure
hot_pressure_max|maximum hot pressure
hot_pressure_sd|standard deviation hot pressure
hot_pressure_avg|average hot pressure
transmitting_dur|transmitting duration in seconds
not_transmitting_dur|not transmitting duration in seconds
transmission_level|transmission level defined as 0 if less then 3600 seconds, if more then 1, else 2
report_start_at|report calculation for the date
updated_at|timestamp inserted to database
