vehicle_id,v_out_of_service,v_maintenance,device_id,transmitting_dur,not_transmitting_dur,transmission_level,report_start_at,updated_at
44,0,0,3612,0,86400,2,2023-04-01 22:00:00,2023-04-02 22:18:13.959447
45,0,0,3573,0,86400,2,2023-04-01 22:00:00,2023-04-02 22:18:13.959447
46,0,0,3572,0,86400,2,2023-04-01 22:00:00,2023-04-02 22:18:13.959447
47,0,0,3098,0,86400,2,2023-04-01 22:00:00,2023-04-02 22:18:13.959447
11,0,0,2723,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
12,0,0,2457,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
20,0,0,2715,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
28,0,0,2616,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
30,0,0,2645,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
32,0,0,2702,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
34,0,0,2705,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
36,0,0,2464,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
41,0,0,2693,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
43,0,0,2611,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
45,0,0,2634,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
50,0,0,2632,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
55,0,0,2466,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
56,0,0,2689,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
58,0,0,2454,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
60,0,0,2732,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
63,0,0,2690,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
64,0,0,2459,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
65,0,0,2628,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
69,0,0,2455,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
70,0,0,2461,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
72,0,0,2640,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
73,0,0,2468,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
74,0,0,2696,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
76,0,0,2453,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
78,0,0,2427,0,86400,0,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
79,0,0,2630,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
83,0,0,2615,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
84,0,0,2439,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
88,0,0,2609,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
89,0,0,2639,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
91,0,1,2642,0,86400,0,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
95,0,0,2627,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
96,0,0,2620,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
98,0,0,2619,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
99,0,0,2733,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
101,0,0,2432,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
105,0,0,2731,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
106,0,0,2718,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
108,0,0,2429,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
109,0,0,2431,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
110,0,0,2618,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
111,0,0,2442,0,86400,2,2023-04-01 11:00:00,2023-04-02 11:28:21.928299
