report_date,active_sensors,total_sensors,availability_pct,month_year
2023-01-01,952,1627,0.5851,2023-01
2023-01-02,958,1627,0.5888,2023-01
2023-01-03,964,1627,0.5925,2023-01
2023-01-04,961,1627,0.5907,2023-01
2023-01-05,967,1627,0.59430003,2023-01
2023-01-06,957,1627,0.5882,2023-01
2023-01-07,965,1627,0.5931,2023-01
2023-01-08,972,1627,0.5974,2023-01
2023-01-09,976,1627,0.5999,2023-01
2023-01-10,972,1627,0.5974,2023-01
2023-01-11,966,1627,0.5937,2023-01
2023-01-12,961,1627,0.5907,2023-01
2023-01-13,962,1627,0.5913,2023-01
2023-01-14,958,1627,0.5888,2023-01
2023-01-15,958,1627,0.5888,2023-01
2023-01-16,966,1627,0.5937,2023-01
2023-01-17,974,1627,0.59860003,2023-01
2023-01-18,980,1627,0.6023,2023-01
2023-01-19,970,1627,0.5962,2023-01
2023-01-20,969,1627,0.5956,2023-01
2023-01-21,974,1627,0.59860003,2023-01
2023-01-22,972,1627,0.5974,2023-01
2023-01-23,980,1627,0.6023,2023-01
2023-01-24,979,1627,0.6017,2023-01
2023-01-25,981,1627,0.603,2023-01
2023-01-26,978,1627,0.6011,2023-01
2023-01-27,978,1627,0.6011,2023-01
2023-01-28,992,1627,0.6097,2023-01
2023-01-29,965,1627,0.5931,2023-01
2023-01-30,985,1627,0.6054,2023-01
2023-01-31,983,1627,0.6042,2023-01
2023-02-01,988,1627,0.6073,2023-02
2023-02-02,990,1627,0.6085,2023-02
2023-02-03,994,1627,0.6109,2023-02
2023-02-04,975,1627,0.5993,2023-02
2023-02-05,977,1627,0.6005,2023-02
2023-02-06,991,1627,0.6091,2023-02
2023-02-07,1000,1627,0.6146,2023-02
2023-02-08,992,1627,0.6097,2023-02
2023-02-09,1004,1627,0.6171,2023-02
2023-02-10,991,1627,0.6091,2023-02
2023-02-11,1000,1627,0.6146,2023-02
2023-02-12,992,1627,0.6097,2023-02
2023-02-13,997,1627,0.6128,2023-02
2023-02-14,1006,1627,0.6183,2023-02
2023-02-15,1021,1627,0.6275,2023-02
2023-02-16,1034,1627,0.6355,2023-02
2023-02-17,1029,1627,0.6325,2023-02
2023-02-18,981,1627,0.603,2023-02
2023-02-19,1017,1627,0.62509996,2023-02
2023-02-20,1028,1627,0.6318,2023-02
2023-02-21,1034,1627,0.6355,2023-02
2023-02-22,1034,1627,0.6355,2023-02
2023-02-23,1026,1627,0.63060004,2023-02
2023-02-24,1045,1627,0.6423,2023-02
2023-02-25,1037,1627,0.63740003,2023-02
2023-02-26,1031,1627,0.6337,2023-02
2023-02-27,1032,1627,0.6343,2023-02
2023-02-28,1032,1627,0.6343,2023-02
2023-03-01,1035,1627,0.6361,2023-03
2023-03-02,1044,1627,0.64169997,2023-03
2023-03-03,1060,1627,0.6515,2023-03
2023-03-04,1054,1627,0.64779997,2023-03
2023-03-05,1034,1627,0.6355,2023-03
2023-03-06,1034,1627,0.6355,2023-03
2023-03-07,1042,1627,0.6404,2023-03
2023-03-08,1031,1627,0.6337,2023-03
2023-03-09,1051,1627,0.64599997,2023-03
2023-03-10,1061,1627,0.65209997,2023-03
2023-03-11,1067,1627,0.65580004,2023-03
2023-03-12,1061,1627,0.65209997,2023-03
2023-03-13,1058,1627,0.65029997,2023-03
2023-03-14,1072,1627,0.6589,2023-03
2023-03-15,1070,1627,0.65769994,2023-03
2023-03-16,1074,1627,0.66010004,2023-03
2023-03-17,1075,1627,0.6607,2023-03
2023-03-18,1073,1627,0.65949994,2023-03
2023-03-19,1073,1627,0.65949994,2023-03
2023-03-20,1070,1627,0.65769994,2023-03
2023-03-21,1069,1627,0.65699995,2023-03
2023-03-22,1062,1627,0.65269995,2023-03
2023-03-23,1072,1627,0.6589,2023-03
2023-03-24,1064,1627,0.65400004,2023-03
2023-03-25,1065,1627,0.65459996,2023-03
2023-03-26,1072,1627,0.6589,2023-03
2023-03-27,1054,1627,0.64779997,2023-03
2023-03-28,1065,1627,0.65459996,2023-03
2023-03-29,1074,1627,0.66010004,2023-03
2023-03-30,1072,1627,0.6589,2023-03
2023-03-31,1081,1627,0.66440004,2023-03
2023-04-01,1057,1627,0.6497,2023-04
