vehicle_id,v_out_of_service,v_maintenance,sensor_id,wheel_position,wheel_id,temp_optimal_dur,temp_l1_high_dur,temp_l2_high_dur,temp_l3_high_dur,temp_l1_low_dur,temp_l2_low_dur,temp_l3_low_dur,temperature_min,temperature_max,temperature_sd,temperature_avg,report_start_at,updated_at
84,0,0,54755654,3,496,78400,4618,0,0,0,0,0,45.2,50.6,1.0013613,47.9,2023-04-01 11:00:00,2023-04-02 11:28:16.495808
84,0,0,54755654,3,496,68294,17204,0,0,0,0,0,43.6,51.4,2.3173976,48.3,2023-03-31 11:00:00,2023-04-01 11:25:15.450560
84,0,0,54755654,3,496,47309,35302,0,0,0,0,0,43.3,53.5,2.7520695,48.8,2023-03-30 11:00:00,2023-03-31 11:32:17.256433
84,0,0,54755654,3,496,40488,43802,0,0,0,0,0,44.9,52.9,2.2829134,50.1,2023-03-29 11:00:00,2023-03-30 11:29:55.631155
84,0,0,54755654,3,496,40346,40302,0,0,0,0,0,44.4,52.9,2.6616187,48.9,2023-03-28 11:00:00,2023-03-29 11:29:40.116007
84,0,0,54755252,2,495,50205,33235,0,0,0,0,0,36.3,52.7,4.621494,46.7,2023-03-27 11:00:00,2023-03-28 11:26:56.630239
84,0,0,54755252,2,495,64070,18573,0,0,0,0,0,26.6,53.3,7.3784347,46.1,2023-03-26 11:00:00,2023-03-27 11:26:02.378498
84,0,0,54755252,2,495,59615,22442,0,0,0,0,0,42.7,52.5,2.342391,47.4,2023-03-25 11:00:00,2023-03-26 11:30:44.735354
84,0,0,54755252,2,495,19971,52478,0,0,0,0,0,44.7,63.0,5.3902254,53.0,2023-03-24 11:00:00,2023-03-25 11:27:40.450130
84,0,0,54755654,3,496,41059,44148,0,0,0,0,0,40.1,52.9,3.9273372,48.4,2023-03-24 11:00:00,2023-03-25 11:27:40.450130
84,0,0,54755252,2,495,0,81065,0,0,0,0,0,55.5,63.0,1.7994422,59.8,2023-03-23 11:00:00,2023-03-24 11:29:20.669413
84,0,0,54755654,3,496,0,85387,0,0,0,0,0,50.6,53.7,0.6944863,52.3,2023-03-23 11:00:00,2023-03-24 11:29:20.669413
84,0,0,54755252,2,495,0,80498,0,0,0,0,0,55.2,60.6,1.219375,58.2,2023-03-22 11:00:00,2023-03-23 11:26:04.981171
84,0,0,54755654,3,496,12702,69782,0,0,0,0,0,48.5,55.5,1.6925904,52.8,2023-03-22 11:00:00,2023-03-23 11:26:04.981171
84,0,0,54755252,2,495,0,78939,3065,0,0,0,0,56.0,65.2,2.1730435,62.5,2023-03-21 11:00:00,2023-03-22 11:26:48.682847
84,0,0,54755654,3,496,3342,79745,0,0,0,0,0,49.6,57.1,2.0721743,54.4,2023-03-21 11:00:00,2023-03-22 11:26:48.682847
84,0,0,54755252,2,495,19134,67114,0,0,0,0,0,46.0,59.0,4.6077533,54.2,2023-03-20 11:00:00,2023-03-21 11:29:39.255327
84,0,0,54755654,3,496,52221,32585,0,0,0,0,0,41.8,51.9,3.2588997,47.2,2023-03-20 11:00:00,2023-03-21 11:29:39.255327
84,0,0,54755252,2,495,49889,31230,0,0,0,0,0,42.5,53.5,3.0127375,48.6,2023-03-19 11:00:00,2023-03-20 11:27:27.726639
